accession	organism	tax_id	assembly_level	total_seq_len
GCF_019202705.1	[Candida] subhashii	561895	Scaffold	15377153
GCF_010015735.1	Aaosphaeria arxii CBS 175.79	1450172	Scaffold	38901049
GCF_003935025.1	Abrus precatorius	3816	Scaffold	347230236
GCF_000313135.1	Acanthamoeba castellanii str. Neff	1257118	Scaffold	42019824
GCF_001949145.1	Acanthaster planci	133434	Scaffold	383843944
GCF_000695815.1	Acanthisitta chloris	57068	Scaffold	1035876403
GCF_021347895.1	Acanthochromis polyacanthus	80966	Chromosome	956771783
GCF_904848185.1	Acanthopagrus latus	8177	Chromosome	685127588
GCF_003144295.1	Acaromyces ingoldii	215250	Scaffold	19330111
GCF_053477335.1	Acartia tonsa	136180	Chromosome	779754176
GCF_030625045.1	Achroia grisella	688607	Contig	442882001
GCF_027475565.1	Acinonyx jubatus	32536	Chromosome	2377417351
GCF_902713425.1	Acipenser ruthenus	7906	Chromosome	1899794300
GCF_903995435.1	Acomys russatus	60746	Chromosome	2301522284
GCF_000204515.1	Acromyrmex echinatior	103372	Scaffold	295944863
GCF_000222465.1	Acropora digitifera	70779	Scaffold	447478678
GCF_013753865.1	Acropora millepora	45264	Chromosome	475381253
GCF_036669905.1	Acropora muricata	159855	Chromosome	487333246
GCF_964030605.1	Acropora palmata	6131	Chromosome	333946596
GCF_009602425.1	Actinia tenebrosa	6105	Scaffold	238179736
GCF_019202715.1	Actinidia eriantha	165200	Chromosome	657097116
GCF_005508785.2	Acyrthosiphon pisum	7029	Chromosome	533632392
GCF_000787575.1	Acytostelium subglobosum LB1	1410327	Scaffold	31002963
GCF_023614345.1	Adelges cooleyi	133065	Scaffold	270197466
GCF_002204515.2	Aedes aegypti	7159	Chromosome	1278715314
GCF_035046485.1	Aedes albopictus	7160	Chromosome	1344147842
GCF_002575655.3	Aegilops tauschii subsp. strangulata	200361	Chromosome	4122383441
GCF_024364675.1	Aethina tumida	116153	Chromosome	259967705
GCF_000300575.1	Agaricus bisporus var. bisporus H97	936046	Scaffold	30233745
GCF_000300555.1	Agaricus bisporus var. burnettii JB137-S8	597362	Scaffold	32614392
GCF_051311805.1	Agelaius phoeniceus	39638	Chromosome	1238411316
GCF_023055355.1	Agelaius tricolor	9191	Scaffold	1157591681
GCF_000699045.2	Agrilus planipennis	224129	Scaffold	353056831
GCF_028640845.1	Ahaetulla prasina	499056	Chromosome	1772420080
GCF_002007445.2	Ailuropoda melanoleuca	9646	Chromosome	2440260518
GCF_028009165.1	Akanthomyces muscarius	2231603	Chromosome	36207525
GCF_014885135.2	Alexandromys fortis	100897	Scaffold	2189376753
